mass,z,fov,mlt,age,log_k,teff,lum
11.2,0.01,0.01,1.0,14668880.0,-2.323337,24734.554932,13891.5
11.2,0.01,0.01,1.0,14873670.0,-2.330559,24629.965556,14049.86
11.2,0.01,0.01,1.0,15073810.0,-2.337801,24522.846718,14208.34
11.2,0.01,0.01,1.0,15269240.0,-2.345069,24413.519881,14367.19
11.2,0.01,0.01,1.0,15460110.0,-2.352352,24302.060424,14526.07
11.2,0.01,0.01,1.2,14637300.0,-2.322187,24755.545715,13869.6
11.2,0.01,0.01,1.2,14843290.0,-2.329419,24651.050427,14028.19
11.2,0.01,0.01,1.2,15044420.0,-2.336669,24544.514717,14187.09
11.2,0.01,0.01,1.2,15240830.0,-2.343937,24435.640787,14346.06
11.2,0.01,0.01,1.2,15432840.0,-2.351232,24324.283504,14505.3
11.2,0.01,0.01,1.4,14565940.0,-2.319814,24795.174851,13818.84
11.2,0.01,0.01,1.4,14774000.0,-2.327046,24691.700949,13977.71
11.2,0.01,0.01,1.4,14977260.0,-2.334302,24585.773296,14136.87
11.2,0.01,0.01,1.4,15175770.0,-2.341584,24477.398326,14296.32
11.2,0.01,0.01,1.4,15369530.0,-2.348882,24367.001942,14455.96
11.2,0.01,0.01,1.6,14741920.0,-2.325919,24710.846537,13954.03
11.2,0.01,0.01,1.6,14946230.0,-2.333187,24605.260376,14113.63
11.2,0.01,0.01,1.6,15145800.0,-2.340475,24497.404134,14273.45
11.2,0.01,0.01,1.6,15340760.0,-2.347785,24387.199162,14433.45
11.2,0.01,0.01,1.8,14670330.0,-2.323437,24751.84574,13900.71
11.2,0.01,0.01,1.8,14876680.0,-2.330704,24647.200052,14060.48
11.2,0.01,0.01,1.8,15078280.0,-2.337994,24540.028312,14220.45
11.2,0.01,0.01,1.8,15275160.0,-2.345304,24430.525773,14380.59
11.2,0.01,0.01,1.8,15467360.0,-2.352642,24318.829993,14541.19
11.2,0.01,0.01,2.0,14711000.0,-2.324845,24734.230062,13933.32
11.2,0.01,0.01,2.0,14916610.0,-2.332122,24629.169756,14093.37
11.2,0.01,0.01,2.0,15117550.0,-2.339423,24521.537691,14253.65
11.2,0.01,0.01,2.0,15313800.0,-2.346752,24411.68777,14414.37
11.2,0.01,0.01,2.2,14704680.0,-2.324736,24740.847243,13930.03
11.2,0.01,0.01,2.2,14910750.0,-2.332008,24635.72724,14090.27
11.2,0.01,0.01,2.2,15112050.0,-2.339313,24528.172613,14250.72
11.2,0.01,0.01,2.2,15308600.0,-2.346642,24418.413663,14411.51
11.2,0.01,0.01,2.2,15500610.0,-2.354,24306.2777,14572.67
11.2,0.01,0.01,2.4,14576620.0,-2.320345,24785.951249,13825.69
11.2,0.01,0.01,2.4,14783340.0,-2.327542,24682.55185,13983.67
11.2,0.01,0.01,2.4,14985310.0,-2.334748,24576.702063,14141.85
11.2,0.01,0.01,2.4,15182560.0,-2.341988,24468.786051,14300.41
11.2,0.01,0.01,2.4,15375370.0,-2.349251,24358.553897,14459.2
11.2,0.01,0.01,2.6,14671990.0,-2.323845,24701.112357,13885.91
11.2,0.01,0.01,2.6,14873740.0,-2.330972,24596.586356,14041.51
11.2,0.01,0.01,2.6,15070880.0,-2.338107,24489.785352,14197.3
11.2,0.01,0.01,2.6,15263510.0,-2.345279,24380.706724,14353.42
11.2,0.01,0.01,2.8,14720080.0,-2.32574,24642.260745,13912.64
11.2,0.01,0.01,2.8,14917870.0,-2.332785,24537.12725,14065.63
11.2,0.01,0.01,2.8,15110980.0,-2.339843,24430.105025,14218.77
11.2,0.01,0.01,2.8,15299720.0,-2.346915,24320.724626,14372.12
11.2,0.01,0.01,3.0,14630630.0,-2.32277,24657.791605,13834.69
11.2,0.01,0.01,3.0,14828160.0,-2.329736,24553.850734,13985.52
11.2,0.01,0.01,3.0,15021200.0,-2.336722,24447.625164,14136.51
11.2,0.01,0.01,3.0,15209790.0,-2.343724,24339.402476,14287.66
11.2,0.01,0.015,1.0,14577740.0,-2.318749,25024.857679,13897.18
11.2,0.01,0.015,1.0,14805500.0,-2.326546,24922.024364,14074.35
11.2,0.01,0.015,1.0,15027970.0,-2.334392,24816.456461,14252.34
11.2,0.01,0.015,1.0,15245480.0,-2.342279,24707.812652,14431.04
11.2,0.01,0.015,1.0,15457880.0,-2.350203,24596.260908,14610.36
11.2,0.01,0.015,1.0,15665040.0,-2.358159,24482.247754,14790.33
11.2,0.01,0.015,1.0,15867290.0,-2.366146,24365.609957,14970.74
11.2,0.01,0.015,1.2,14521610.0,-2.316794,25055.797044,13856.59
11.2,0.01,0.015,1.2,14751900.0,-2.324633,24953.167053,14034.48
11.2,0.01,0.015,1.2,14976760.0,-2.332506,24847.714945,14213.08
11.2,0.01,0.015,1.2,15195950.0,-2.340402,24739.890559,14392.26
11.2,0.01,0.015,1.2,15409910.0,-2.34833,24629.432458,14572.07
11.2,0.01,0.015,1.2,15619050.0,-2.3563,24515.877272,14752.51
11.2,0.01,0.015,1.2,15823310.0,-2.364324,24399.594664,14934.11
11.2,0.01,0.015,1.4,14471660.0,-2.31516,25084.799658,13822.34
11.2,0.01,0.015,1.4,14703350.0,-2.323,24983.186986,14000.57
11.2,0.01,0.015,1.4,14929610.0,-2.330869,24878.695532,14179.76
11.2,0.01,0.015,1.4,15150740.0,-2.338783,24771.328987,14359.55
11.2,0.01,0.015,1.4,15366670.0,-2.346732,24661.324299,14540.06
11.2,0.01,0.015,1.4,15577540.0,-2.354721,24548.089203,14721.13
11.2,0.01,0.015,1.4,15783280.0,-2.362733,24432.524992,14902.94
11.2,0.01,0.015,1.4,15984150.0,-2.370791,24314.00845,15085.15
11.2,0.01,0.015,1.6,14682750.0,-2.322269,24997.729975,13986.38
11.2,0.01,0.015,1.6,14910020.0,-2.330156,24893.577059,14165.82
11.2,0.01,0.015,1.6,15131920.0,-2.338071,24786.458308,14345.7
11.2,0.01,0.015,1.6,15348580.0,-2.346026,24676.433807,14526.37
11.2,0.01,0.015,1.6,15559890.0,-2.354018,24564.072362,14707.95
11.2,0.01,0.015,1.6,15766340.0,-2.36204,24448.745252,14889.81
11.2,0.01,0.015,1.6,15968160.0,-2.370112,24330.576688,15072.61
11.2,0.01,0.015,1.8,14604240.0,-2.319611,25037.702971,13926.97
11.2,0.01,0.015,1.8,14833880.0,-2.327501,24934.191779,14106.46
11.2,0.01,0.015,1.8,15057860.0,-2.335418,24828.37376,14286.71
11.2,0.01,0.015,1.8,15276620.0,-2.343368,24719.676153,14467.54
11.2,0.01,0.015,1.8,15490470.0,-2.351365,24608.042875,14649.35
11.2,0.01,0.015,1.8,15699360.0,-2.359403,24493.225197,14831.7
11.2,0.01,0.015,1.8,15903160.0,-2.367483,24375.966818,15015.02
11.2,0.01,0.015,2.0,14642730.0,-2.320905,25025.800083,13958.69
11.2,0.01,0.015,2.0,14872000.0,-2.328816,24921.82407,14138.77
11.2,0.01,0.015,2.0,15095550.0,-2.336751,24815.568032,14319.59
11.2,0.01,0.015,2.0,15313900.0,-2.344722,24706.368647,14501.03
11.2,0.01,0.015,2.0,15527330.0,-2.352739,24594.263249,14683.42
11.2,0.01,0.015,2.0,15735790.0,-2.360797,24479.23161,14866.49
11.2,0.01,0.015,2.0,15939370.0,-2.3689,24361.351842,15050.36
11.2,0.01,0.015,2.2,14629470.0,-2.32049,25037.250311,13950.15
11.2,0.01,0.015,2.2,14859160.0,-2.328386,24933.915942,14130.46
11.2,0.01,0.015,2.2,15083470.0,-2.336326,24827.852324,14311.49
11.2,0.01,0.015,2.2,15302750.0,-2.344318,24718.726411,14493.61
11.2,0.01,0.015,2.2,15516970.0,-2.352337,24606.781596,14676.48
11.2,0.01,0.015,2.2,15726190.0,-2.360411,24491.863383,14860.11
11.2,0.01,0.015,2.2,15930490.0,-2.368524,24374.134672,15044.43
11.2,0.01,0.015,2.4,14485270.0,-2.315719,25080.439237,13833.39
11.2,0.01,0.015,2.4,14716250.0,-2.323541,24978.855971,14011.28
11.2,0.01,0.015,2.4,14942150.0,-2.331409,24874.981864,14190.48
11.2,0.01,0.015,2.4,15163360.0,-2.339331,24767.04199,14370.37
11.2,0.01,0.015,2.4,15379370.0,-2.347292,24656.19131,14551.37
11.2,0.01,0.015,2.4,15589540.0,-2.355263,24543.513103,14732.36
11.2,0.01,0.015,2.4,15794780.0,-2.363273,24427.747259,14913.87
11.2,0.01,0.015,2.4,15995390.0,-2.371326,24308.973459,15096.04
11.2,0.01,0.015,2.6,14554380.0,-2.318427,24997.575998,13870.74
11.2,0.01,0.015,2.6,14778770.0,-2.326115,24895.129523,14044.4
11.2,0.01,0.015,2.6,14998080.0,-2.333842,24789.715164,14218.78
11.2,0.01,0.015,2.6,15212500.0,-2.341604,24681.445125,14393.79
11.2,0.01,0.015,2.6,15421810.0,-2.349386,24570.422814,14569.28
11.2,0.01,0.015,2.6,15626040.0,-2.357211,24457.150032,14745.48
11.2,0.01,0.015,2.6,15825630.0,-2.365071,24341.040072,14922.16
11.2,0.01,0.015,2.8,14577980.0,-2.319543,24941.463926,13876.25
11.2,0.01,0.015,2.8,14797590.0,-2.327108,24838.582843,14046.05
11.2,0.01,0.015,2.8,15012300.0,-2.334699,24732.987021,14216.59
11.2,0.01,0.015,2.8,15222280.0,-2.342344,24624.627727,14387.95
11.2,0.01,0.015,2.8,15427490.0,-2.35002,24513.614298,14559.82
11.2,0.01,0.015,2.8,15627980.0,-2.357735,24399.992148,14732.36
11.2,0.01,0.015,3.0,14682410.0,-2.323332,24852.172607,13944.02
11.2,0.01,0.015,3.0,14896620.0,-2.330827,24747.714286,14111.33
11.2,0.01,0.015,3.0,15105940.0,-2.338358,24640.511857,14279.25
11.2,0.01,0.015,3.0,15310370.0,-2.345909,24530.749823,14447.35
11.2,0.01,0.015,3.0,15509870.0,-2.353489,24418.601718,14615.93
11.2,0.01,0.015,3.0,15704690.0,-2.361093,24304.160473,14784.86
11.2,0.01,0.02,1.0,14591360.0,-2.317593,25241.984929,13967.66
11.2,0.01,0.02,1.0,14839580.0,-2.325994,25139.89515,14163.65
11.2,0.01,0.02,1.0,15081640.0,-2.334436,25035.178272,14360.96
11.2,0.01,0.02,1.0,15317910.0,-2.342922,24927.436215,14559.42
11.2,0.01,0.02,1.0,15548850.0,-2.351463,24816.10519,14759.05
11.2,0.01,0.02,1.0,15774230.0,-2.360055,24701.920717,14960.0
11.2,0.01,0.02,1.0,15994220.0,-2.368702,24584.301818,15162.03
11.2,0.01,0.02,1.0,16209050.0,-2.377412,24463.388851,15365.43
11.2,0.01,0.02,1.0,16418700.0,-2.386166,24338.988098,15569.36
11.2,0.01,0.02,1.2,14548480.0,-2.316102,25268.400695,13937.18
