mass,z,fov,mlt,age,log_k,teff,lum
11.4,0.01,0.03,2.2,16549900.0,-2.405609,24843.247557,17270.84
11.4,0.01,0.03,2.4,16514840.0,-2.403965,24870.377892,17229.59
11.4,0.03,0.03,1.8,12601450.0,-2.41702,24809.309275,17377.67
11.4,0.03,0.03,2.0,12487090.0,-2.411569,24873.93352,17245.61
11.4,0.03,0.03,2.2,12488850.0,-2.411289,24883.327791,17249.84
11.4,0.03,0.03,2.4,12623080.0,-2.417168,24822.251356,17410.1
11.6,0.01,0.025,1.0,15436500.0,-2.379577,25061.347929,17337.32
11.6,0.01,0.025,1.0,15649350.0,-2.389145,24932.891572,17589.08
11.6,0.01,0.025,1.0,15856720.0,-2.398782,24800.546489,17842.29
11.6,0.01,0.025,1.2,15448230.0,-2.379904,25069.078975,17355.08
11.6,0.01,0.025,1.2,15661430.0,-2.389489,24941.141479,17608.27
11.6,0.01,0.025,1.2,15869320.0,-2.39915,24809.481791,17862.94
11.6,0.01,0.025,1.4,15399570.0,-2.377623,25115.619602,17302.21
11.6,0.01,0.025,1.4,15615010.0,-2.387231,24988.751896,17556.26
11.6,0.01,0.025,1.4,15825500.0,-2.396931,24857.122142,17812.17
11.6,0.01,0.025,1.6,15432150.0,-2.379,25106.394137,17343.36
11.6,0.01,0.025,1.6,15647510.0,-2.388646,24979.069852,17598.79
11.6,0.01,0.025,1.6,15857660.0,-2.398372,24847.70803,17855.97
11.6,0.01,0.025,1.8,15449010.0,-2.379691,25106.732457,17365.92
11.6,0.01,0.025,1.8,15664630.0,-2.389357,24978.99226,17622.34
11.6,0.01,0.025,1.8,15874800.0,-2.399098,24847.674616,17880.35
11.6,0.01,0.025,2.0,15446110.0,-2.379406,25117.783248,17362.38
11.6,0.01,0.025,2.0,15662140.0,-2.389087,24990.571421,17619.34
11.6,0.01,0.025,2.0,15872950.0,-2.398841,24859.185025,17877.85
11.6,0.01,0.025,2.2,15352070.0,-2.375359,25178.311299,17259.41
11.6,0.01,0.025,2.2,15571000.0,-2.385028,25052.337695,17516.15
11.6,0.01,0.025,2.2,15784440.0,-2.394771,24922.215995,17774.54
11.6,0.01,0.025,2.4,15433950.0,-2.378852,25137.770947,17353.99
11.6,0.01,0.025,2.4,15651190.0,-2.388552,25010.641967,17611.84
11.6,0.01,0.025,2.4,15863390.0,-2.398343,24879.633445,17872.08
11.6,0.01,0.025,2.6,15452990.0,-2.380728,25021.822512,17352.18
11.6,0.01,0.025,2.6,15663660.0,-2.390222,24893.184273,17602.01
11.6,0.01,0.025,2.8,15530490.0,-2.385053,24878.217298,17417.66
11.6,0.01,0.025,3.0,15397730.0,-2.379887,24875.624623,17241.67
11.6,0.01,0.03,1.0,15433120.0,-2.376672,25323.520068,17388.34
11.6,0.01,0.03,1.0,15662610.0,-2.386788,25198.421053,17662.49
11.6,0.01,0.03,1.0,15886710.0,-2.397006,25068.821458,17939.35
11.6,0.01,0.03,1.0,16105520.0,-2.40733,24934.429631,18218.79
11.6,0.01,0.03,1.2,15442670.0,-2.376814,25338.355774,17403.76
11.6,0.01,0.03,1.2,15673630.0,-2.386994,25213.166995,17680.28
11.6,0.01,0.03,1.2,15899010.0,-2.397276,25083.271913,17959.44
11.6,0.01,0.03,1.2,16118930.0,-2.407646,24948.797632,18241.04
11.6,0.01,0.03,1.2,16333140.0,-2.418114,24809.650271,18524.54
11.6,0.01,0.03,1.4,15398030.0,-2.37477,25377.038555,17354.42
11.6,0.01,0.03,1.4,15631210.0,-2.384975,25252.166029,17631.71
11.6,0.01,0.03,1.4,15858330.0,-2.395259,25123.095608,17911.2
11.6,0.01,0.03,1.4,16079560.0,-2.405631,24989.418324,18192.77
11.6,0.01,0.03,1.4,16294880.0,-2.416072,24852.82654,18476.71
11.6,0.01,0.03,1.6,15439680.0,-2.37645,25367.887368,17406.38
11.6,0.01,0.03,1.6,15672290.0,-2.386678,25242.78236,17684.77
11.6,0.01,0.03,1.6,15899420.0,-2.397014,25113.596232,17966.39
11.6,0.01,0.03,1.6,16121010.0,-2.40745,24979.735895,18250.58
11.6,0.01,0.03,1.6,16337210.0,-2.417992,24841.117608,18537.27
11.6,0.01,0.03,1.8,15456440.0,-2.377091,25371.785105,17429.09
11.6,0.01,0.03,1.8,15689910.0,-2.387373,25245.880366,17709.15
11.6,0.01,0.03,1.8,15917310.0,-2.397739,25116.454914,17991.98
11.6,0.01,0.03,1.8,16138920.0,-2.408191,24982.750737,18277.2
11.6,0.01,0.03,1.8,16355330.0,-2.418759,24843.660432,18564.9
11.6,0.01,0.03,2.0,15460870.0,-2.377126,25376.416179,17433.21
11.6,0.01,0.03,2.0,15694730.0,-2.387427,25250.43993,17714.0
11.6,0.01,0.03,2.0,15922280.0,-2.397795,25122.110994,17997.63
11.6,0.01,0.03,2.0,16144670.0,-2.408279,24987.738463,18283.62
11.6,0.01,0.03,2.0,16361920.0,-2.41889,24848.286719,18572.74
11.6,0.01,0.03,2.2,15363060.0,-2.372948,25437.99857,17325.34
11.6,0.01,0.03,2.2,15599790.0,-2.383218,25314.90174,17606.1
11.6,0.01,0.03,2.2,15830950.0,-2.393597,25186.622301,17889.58
11.6,0.01,0.03,2.2,16056160.0,-2.404066,25054.646655,18175.91
11.6,0.01,0.03,2.2,16275570.0,-2.414623,24918.44245,18464.62
11.6,0.01,0.03,2.4,15467960.0,-2.377359,25390.633596,17448.24
11.6,0.01,0.03,2.4,15702410.0,-2.387665,25265.995177,17730.7
11.6,0.01,0.03,2.4,15931120.0,-2.398082,25136.662169,18015.88
11.6,0.01,0.03,2.4,16154560.0,-2.408619,25001.89671,18303.93
11.6,0.01,0.03,2.4,16372000.0,-2.419232,24863.875953,18594.5
11.6,0.01,0.03,2.6,15497590.0,-2.379847,25268.515582,17463.85
11.6,0.01,0.03,2.6,15725230.0,-2.389983,25140.987365,17738.1
11.6,0.01,0.03,2.6,15947020.0,-2.400206,25008.620753,18014.33
11.6,0.01,0.03,2.6,16162430.0,-2.410467,24874.505024,18292.55
11.6,0.01,0.03,2.8,15332990.0,-2.373756,25251.148697,17247.08
11.6,0.01,0.03,2.8,15557220.0,-2.383562,25125.666933,17509.72
11.6,0.01,0.03,2.8,15775800.0,-2.393459,24996.019722,17774.36
11.6,0.01,0.03,2.8,15988470.0,-2.403404,24863.931273,18040.84
11.6,0.01,0.03,3.0,15403650.0,-2.377812,25116.047088,17308.12
11.6,0.01,0.03,3.0,15619210.0,-2.387414,24989.552247,17562.85
11.6,0.01,0.03,3.0,15829660.0,-2.397089,24858.929886,17819.22
11.6,0.03,0.02,1.0,11472280.0,-2.385834,24961.236967,17238.88
11.6,0.03,0.02,1.0,11689680.0,-2.395853,24845.814071,17495.08
11.6,0.03,0.02,1.2,11467330.0,-2.385255,24974.336051,17237.58
11.6,0.03,0.02,1.2,11686110.0,-2.395316,24858.801599,17495.41
11.6,0.03,0.02,1.4,11484730.0,-2.385787,24973.576445,17261.48
11.6,0.03,0.02,1.4,11703590.0,-2.395875,24857.481525,17520.07
11.6,0.03,0.02,1.6,11627410.0,-2.392208,24904.50581,17431.3
11.6,0.03,0.02,1.8,11476570.0,-2.385196,24989.572711,17257.01
11.6,0.03,0.02,1.8,11696630.0,-2.395293,24874.023864,17517.06
11.6,0.03,0.02,2.0,11643440.0,-2.392612,24910.128679,17455.58
11.6,0.03,0.02,2.2,11519220.0,-2.38669,24981.790549,17312.0
11.6,0.03,0.02,2.2,11739280.0,-2.396816,24865.792521,17574.02
11.6,0.03,0.02,2.4,11575730.0,-2.389047,24957.928106,17380.91
11.6,0.03,0.02,2.4,11794650.0,-2.399182,24841.015012,17643.6
11.6,0.03,0.02,2.6,11640230.0,-2.392245,24867.134137,17436.95
11.6,0.03,0.02,2.8,11463580.0,-2.38438,24905.667072,17208.85
11.6,0.03,0.025,1.0,11593160.0,-2.389513,25096.045143,17444.81
11.6,0.03,0.025,1.0,11823770.0,-2.400207,24979.713345,17725.07
11.6,0.03,0.025,1.0,12048810.0,-2.411006,24859.384758,18007.82
11.6,0.03,0.025,1.2,11561430.0,-2.387697,25122.057869,17410.72
11.6,0.03,0.025,1.2,11793970.0,-2.39842,25005.770905,17691.89
11.6,0.03,0.025,1.2,12020410.0,-2.409228,24885.611787,17975.13
11.6,0.03,0.025,1.4,11601660.0,-2.389255,25112.554881,17462.78
11.6,0.03,0.025,1.4,11833810.0,-2.400012,24995.674451,17745.35
11.6,0.03,0.025,1.4,12059690.0,-2.410835,24876.01628,18030.13
11.6,0.03,0.025,1.6,11513250.0,-2.385113,25163.478858,17360.01
11.6,0.03,0.025,1.6,11748070.0,-2.395833,25048.736079,17642.48
11.6,0.03,0.025,1.6,11977400.0,-2.406667,24929.637836,17927.74
11.6,0.03,0.025,1.6,12200690.0,-2.417592,24806.589934,18215.13
11.6,0.03,0.025,1.8,11574120.0,-2.387697,25143.63031,17435.61
11.6,0.03,0.025,1.8,11808450.0,-2.398472,25027.759861,17720.12
11.6,0.03,0.025,1.8,12036960.0,-2.409346,24907.732354,18007.07
11.6,0.03,0.025,2.0,11484950.0,-2.383575,25190.831982,17333.04
11.6,0.03,0.025,2.0,11721820.0,-2.394313,25076.78627,17617.31
11.6,0.03,0.025,2.0,11952660.0,-2.405144,24958.971283,17904.1
11.6,0.03,0.025,2.0,12177930.0,-2.416073,24837.006296,18193.44
11.6,0.03,0.025,2.2,11379350.0,-2.378584,25249.499871,17211.22
11.6,0.03,0.025,2.2,11619260.0,-2.389274,25137.282006,17494.73
11.6,0.03,0.025,2.2,11853540.0,-2.400081,25020.702368,17781.29
11.6,0.03,0.025,2.2,12081660.0,-2.410969,24900.211898,18070.01
11.6,0.03,0.025,2.4,11460730.0,-2.38197,25215.531752,17307.93
11.6,0.03,0.025,2.4,11699020.0,-2.392695,25102.334607,17593.12
11.6,0.03,0.025,2.4,11931710.0,-2.40353,24984.678695,17881.16
11.6,0.03,0.025,2.4,12158470.0,-2.414458,24862.850582,18171.77
11.6,0.03,0.025,2.6,11552310.0,-2.386409,25115.942937,17399.14
11.6,0.03,0.025,2.6,11783260.0,-2.396959,25001.047989,17678.34
11.6,0.03,0.025,2.6,12008540.0,-2.407595,24882.404924,17959.85
11.6,0.03,0.025,2.8,11560730.0,-2.387113,25047.021868,17387.87
11.6,0.03,0.025,2.8,11786040.0,-2.397447,24930.749249,17658.99
11.6,0.03,0.025,2.8,12005350.0,-2.407837,24811.991833,17932.14
11.6,0.03,0.025,3.0,11559610.0,-2.387408,24988.966951,17368.49
11.6,0.03,0.025,3.0,11780300.0,-2.397551,24872.169907,17632.9
11.6,0.03,0.03,1.0,11437820.0,-2.380652,25346.42674,17310.09
11.6,0.03,0.03,1.0,11687500.0,-2.391836,25234.182824,17609.24
11.6,0.03,0.03,1.0,11931200.0,-2.403164,25117.25455,17912.35
11.6,0.03,0.03,1.0,12168250.0,-2.414583,24997.286302,18218.56
11.6,0.03,0.03,1.0,12399320.0,-2.426117,24872.841273,18527.51
11.6,0.03,0.03,1.2,11533180.0,-2.38457,25319.421932,17431.74
11.6,0.03,0.03,1.2,11781970.0,-2.395869,25205.226117,17734.6
11.6,0.03,0.03,1.2,12024090.0,-2.407264,25087.911902,18040.8
11.6,0.03,0.03,1.2,12260060.0,-2.418778,24966.230067,18350.09
11.6,0.03,0.03,1.2,12490400.0,-2.430429,24839.422524,18662.62
